featureType,featureId,name,shop,brand,hours,latitude,longitude
node,9319548160,Shake Shack,,Shake Shack,,37.7843163,-122.4063045
node,9319555845,NooBowl,,,,37.7843350,-122.4059497
node,9319558943,Umai Savory Hot Dogs,,,,37.7844144,-122.4059364
node,9319574462,Koja Kitchen,,,,37.7844425,-122.4059800
node,9354907012,Ike's Love & Sandwiches,,,,37.7851535,-122.4197631
node,9408415654,Bite,,,,37.7884611,-122.4155373
node,9412069589,The Boys' Deli,,,,37.7922661,-122.4032401
node,9451941409,Ohana Poke Bar,,,,37.7937265,-122.4047853
node,9456812856,Bonchon Chicken,,Bonchon Chicken,,37.7845223,-122.4034680
node,9546656576,Poke Bowl,,,,37.7882695,-122.4037001
